psraid,weight,int_date,tz,cregion,fips,state,msa,usr,usr1,cstatus,p1,p2,kidage,kidgen,p4a,p5a,kidsel,p4b,p5b,p6,p7,q1a,q1b,q2a,q2b,q3a,q3b,q3c,q3d,q4,q5a,q5b,q5c,q5d,q7a,q7b,psex,age,educ,hisp,race,income,modem,q8,playgame,k1a,k1b,k2,k3a,k3b,k3c,k3d,k4a,k4b,k4c,k5a,k5b,k5c,k5d,k5e,k6a,k6b,k6c,k6d,k6e,k7a,k7b,k7c,k7d,k7e,k7f,k7g,k8a,k8b,k8c,k8d,k8e,k9a,k9b,k9c,k9d,k10,k11,k12_1,k12_2,k12_3,k13,k14a,k14b,k14c,k14d,k14e,k14f,k14g,k14h,k14i,k14j,k14k,k14l,k15,k16,k17,K17_CD1,K17_CD2,K17_CD3,k18,k19,k20a,k20b,k20c,k21,k22,k23,k24,k25,k26a,k26b,k26c,k26d,k27,k28,K28_CD1,K28_CD2,K28_CD3,k29a,k29b,k29c,k29d,k29e,k29f,k29g,k29h,k30a,k30b,k31a,k31b,k32a,k20cnt,ksex,kage,racethn,kagerec,numkids,i_user,c_user,c_age,c_agegrp,c_sex,c_game,k3cnt,k4cnt,k6cnt,k7cnt,k8cnt,k9cnt,k14cnt,k26cnt,k29cnt,raceos,modemos,k3dos,k12os,k13os,k17game,k28game
11802,2.08333333333333,121707,E,1,42021,42,27780,S,2,1,3,1,14,2,14,2, , , ,1,1,1,1,1,1,1,1,3,1,1,2,4,1,2,3, ,2,40,5,2,1,7,3,1,1,1,2,1,1,1,1,1,2,1,2,1,3,3,3,3,1,2,1,1,1,2,1,1,1,3,5, ,8,2,4,5,1,1,1,1,1,1, , , , , ,2,1,2,2,2,1,2,2,2,2,1,2,2,2,9, , , ,3,1,1,2,1,3, , ,2,2,1,2,2,2,2, , , , ,3,3,3,3,3,3,3,3,2,1,3, ,2,2,2,14,1,3,1,1,1,14,1,2,1,4,1,4,4,2,4,3,1,0, , ,FRIENDS HOUSE, , , , 
12885,1.41666666666667,10408,C,2,17197,17,16980,U,1,2,2,2,16,2, , ,3,16,2,1,1,1,1,1,1,1,1,3,1,2, , , , , ,2,2,44,5,2,1,8,3,2,1,1,1,1,1,1,2,2,1,1,1,1,1,3,1,3,1,1,1,2,2,2,2,5,1,1,4,1,2,2,2,4,2,1,2,2,1,2, , , , , ,2,1,1,2,1,1,2,2,2,2,1,2,2,2,1,18,57,10,6,0,1,2,1,1, , ,2,2,1,1,1,2,2, , , , ,4,3,3,3,3,3,3,3,3, ,3, ,3,2,2,16,1,5,2,1,1,16,2,2,1,2,3,3,5,4,2,5,3,0, , , , , ,"GUITAR HERO, THE SIMS, DANCE DANCE REVOLUTION", 
13373,2.60416666666667,10208,C,2,17197,17,16980,U,1,0,2,1,13,1,13,1, , , ,1,1,1,1,1,1,3,3,3,1,1,1,3,4,4,1, ,1,31,3,2,1,6,2,1,1,1,2,2,1,1,1,1,2,1,1,3,2,2,3,3,1,2,1,1,1,2,2,1,1,3,4,1,1,1,3,1,1,1,1,2,1,1, , , , , ,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,88,18547,0,2,1,1,2,1,3, , ,1,2,1,2,1,1,2, , , , ,1,1,2,1,2,2,2,1,3, ,2,2,1,2,1,13,1,2,1,1,1,13,1,1,1,4,2,4,5,4,3,11,3,4, , ,MY GRANDMAS HOUSE, , ,"SPORTS, RACING, SURVIAL HORROR GAME", 
11969,2.6875,10608,C,2,17111,17,16980,S,2,2,2,3,12,2, , ,1,12,2,1,1,1,1,1,1,1,1,3,1,1,2,4,1,2,3, ,1,45,4,2,1,9,3,2,1,1,2,1,1,2,1,1,1,1,1,3,1,3,1,3,1,1,1,1,1,1,4,1,3,4,4,1,2,2,4,4,2,1,1,1,1,1, , , , , ,2,1,1,2,1,1,1,2,1,2,1,2,2,2,1,0,14029,15409,3,1,1,2,1,1, , ,2,2,1,1,1,1,1,1,104, , ,4,2,2,1,2,3,3,3,3, ,3, ,2,2,2,12,1,1,3,1,1,12,1,2,1,3,3,5,3,3,4,7,4,1, , ,FIRIEN AT A FRIEND''S HOUSE, , ,"DOUBLE TROULBE, FLIP WORDS, JIG SAW PUZZLES","MATH GAME, BUT I DON'T REMEMBER THE NAME"
5431,1.33333333333333,112507,C,2,17085,17,0,R,3,0,2,1,15,2,15,2, , , ,1,1,1,1,1,1,1,1,3,1,1,1,3,1,3,3, ,2,35,5,2,1,9,3,1,1,1,2,1,1,2,2,2,1,2,1,1,1,3,3,3,1,1,1,1,1,1,2,1,1,1,3,1,2,2,2,4,2,1,1,1,2,2, , , , , ,2,1,2,2,2,1,2,2,2,2,1,2,2,2,1,18, , ,5,0,1,2,1,1, , ,2,2,1,2,2,1,2, , , , ,1,3,3,3,3,3,2,3,3, ,9, ,3,2,2,15,1,4,1,1,1,15,2,2,1,1,2,5,6,4,3,3,2,1, , , , , ,GUITER HERO, 
9930,1.35416666666667,121107,C,2,17037,17,16980,S,2,1,2,1,15,1,15,1, , , ,1,1,1,1,1,1,3,1,3,1,1,1,3,1,8,1, ,2,39,5,2,1,8,2,1,1,1,2,3,1,1,2,2,2,2,2,3,3,3,2,3,1,1,2,1,1,2,2,5,3,5,5, ,2,2,4,4,2,1,1,1,2,1, , , , , ,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,45,18619,13362,1,3,2,2,1, , , ,2,2,1,2,1,1,2, , , , ,1,2,3,2,2,3,2,3,1,1,1,1,1,1,1,15,1,4,1,1,1,15,2,1,1,2,0,4,2,3,3,9,3,1, , , , , ,"STAR CRAFT, RATCHET & CLANK, DYNASTY WARRIORS", 
10975,2.29166666666667,121407,C,2,17037,17,16980,S,2,1,2,2,15,2, , ,3,15,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,2,3, ,1,45,6,1,1,8,3,1,1,1,1,1,1,1,2,1,2,1,1,1,1,3,1,3,2,2,1,2,2,1,3,4, ,1,1,1,1,1,4,4,2,1,2,1,1,1, , , , , ,2,1,2,2,2,1,1,2,2,2,1,2,2,2,1,41, , ,4,0,2,1,1,3,1,2,2,2,1,2,1,1,2, , , , ,3,3,3,3,2,3,3,3,2,2,3, ,2,2,2,15,3,4,2,1,1,15,2,2,1,3,2,1,4,3,3,4,3,0, , ,FRIEND HOUSE, , ,SOLITAIRE, 
18709,1.4375,20108,C,2,29021,29,41140,U,1,2,2,1,16,1,16,1, , , ,1,1,1,1,1,1,1,1,3,1,1,2,2,2,2,3, ,2,43,5,2,1,7,1,2,1,1,2,3,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,3,3,5,2,5,5,3,2,2,2,2,1,1,2,1,2,1, , , , , ,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,18,60,14,2,1,1,2,1,1, , ,2,2,1,1,2,2,2, , , , ,4,3,3,3,4,3,3,3,2,2,2,2,2,2,1,16,1,5,1,1,1,16,2,1,1,2,1,4,1,5,2,11,2,0, , , , , ,"GUITAR HERO, MARIO AND SONIC OLYMPICS FOR THE WII, FIFA 08", 
5677,2.20833333333333,112607,C,2,29037,29,28140,S,2,0,2,1,12,2,12,2, , , ,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,3, ,1,33,5,2,1,4,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,3,3,2,2,2,1,1,3,3,5, ,1,2,1,1,1,4,1,1,1,1,1,1,1, , , , , ,1,1,1,2,1,1,2,1,1,2,2,2,1,1,1,102,57,106,2,1,1,1,2,2,1,1,1,2,1,1,1,1,2, , , , ,2,3,2,1,1,2,3,3,2,1,1,1,1,2,2,12,1,1,1,1,1,12,1,2,1,3,2,2,3,4,4,7,4,2, , , , , ,"RUNESCAPE, THE SIMS, SOUL CALIBUR", 
51,1,110107,C,2,29095,29,28140,S,2,0,2,1,16,2,16,2, , , ,1,1,1,1,1,1,1,1,3,1,1,4,4,4,4,3, ,2,50,7,2,1,8,2,1,1,1,1,4,1,1,1,2,1,1,1,1,1,2,1,3,1,1,1,2,2,2,5,1,1,3,4,3,1,1,2,2,1,1,2,1,1,1, , , , , ,2,1,1,2,1,1,2,1,1,1,2,2,2,2,1,18,60,20,6,0,1,2,2, , , ,2,2,1,2,1,1,1,9, , , ,4,2,2,2,2,3,4,4,2,3,2,2,2,1,2,16,1,5,1,1,1,16,2,2,1,3,3,3,3,5,3,7,3,0, , , , , ,"GUITAR HERO, WII BOWLING, HALO 3", 
